,Player,Team,Pos,1st Pick Value,Starter Value,Inc 1st Pick,PAR,PAS,FantasyPoints
103,Christian McCaffrey,CAR,RB,60.71,50.23,10.48,175.9,88.91333333333338,270.0
104,Saquon Barkley,NYG,RB,53.29,44.09,9.2,154.4,67.41333333333338,248.5
105,Ezekiel Elliott,DAL,RB,52.84,43.71,9.13,153.1,66.11333333333337,247.2
106,Dalvin Cook,MIN,RB,49.49,40.95,8.54,143.4,56.413333333333384,237.5
107,Derrick Henry,TEN,RB,49.36,40.83,8.53,143.0,56.01333333333338,237.1
108,Alvin Kamara,NO,RB,41.31,34.18,7.13,119.70000000000002,32.713333333333395,213.8
109,Aaron Jones,GB,RB,37.03,30.64,6.39,107.30000000000001,20.31333333333339,201.4
110,Nick Chubb,CLE,RB,37.0,30.61,6.39,107.20000000000002,20.213333333333395,201.3
0,Lamar Jackson,BAL,QB,36.9,30.52,6.38,106.89999999999998,54.55833333333334,352.4
111,Josh Jacobs,LV,RB,35.93,29.72,6.21,104.1,17.113333333333372,198.2
112,Joe Mixon,CIN,RB,35.55,29.41,6.14,103.0,16.013333333333378,197.1
113,Kenyan Drake,ARI,RB,34.72,28.72,6.0,100.6,13.613333333333372,194.7
114,Miles Sanders,PHI,RB,34.62,28.64,5.98,100.30000000000001,13.31333333333339,194.4
285,Michael Thomas,NO,WR,33.6,27.8,5.8,97.35000000000001,50.48000000000002,200.8
1,Patrick Mahomes,KC,QB,32.41,26.81,5.6,93.89999999999998,41.55833333333334,339.4
115,Chris Carson,SEA,RB,30.37,25.13,5.24,88.0,1.013333333333378,182.1
116,Todd Gurley,ATL,RB,30.23,25.01,5.22,87.6,0.6133333333333724,181.7
564,Travis Kelce,KC,TE,29.15,24.11,5.04,84.45000000000002,48.65000000000002,161.8
117,Austin Ekeler,LAC,RB,28.72,23.76,4.96,83.20000000000002,-3.786666666666605,177.3
118,David Johnson,HOU,RB,27.47,22.73,4.74,79.6,-7.386666666666628,173.7
286,Davante Adams,GB,WR,27.46,22.71,4.75,79.55,32.68000000000001,183.0
119,Leonard Fournette,JAC,RB,25.64,21.22,4.42,74.30000000000001,-12.68666666666661,168.4
287,Tyreek Hill,KC,WR,25.56,21.14,4.42,74.05,27.180000000000007,177.5
288,Julio Jones,ATL,WR,25.01,20.69,4.32,72.45,25.580000000000013,175.9
565,George Kittle,SF,TE,24.87,20.57,4.3,72.05000000000001,36.250000000000014,149.4
120,Le'Veon Bell,NYJ,RB,24.37,20.16,4.21,70.6,-16.386666666666628,164.7
